"name";"username";"email";"street";"suite";"city";"zipcode";"phone"
"Noah Breton";"Mathilde81";"Zoe_Bernard@hotmail.fr";"Lacroix Laffitte";"Apt. 701";"Elisaview";"22030";"+33 221486012"
"Mlle Alejandro Pierre";"Noémie32";"Adam24@gmail.com";"Julien d'Abbeville";"Suite 043";"Romainport";"59582";"0575216973"
"Opal Schmitt I";"Justine.Prevost83";"Justine.Lacroix36@hotmail.fr";"Marchand Dauphine";"Suite 791";"Deschampsberg";"21324";"+33 104917046"
"Shannon Prevost";"Mathilde28";"Emilie25@hotmail.fr";"Guerin de Presbourg";"Apt. 096";"New Benjaminland";"36048";"+33 296018867"
"Jean Royer";"Mathéo_Laine60";"Lo80@hotmail.fr";"Mathéo Saint-Jacques";"Suite 815";"Sachachester";"63883";"+33 748665219"
"Ryan Perez";"Ambre_Poirier41";"Arthur_Fleury@yahoo.fr";"Ambre Mouffetard";"Apt. 125";"Lefevrefurt";"51875";"0766357470"
"Gertrude Martinez";"Océane.Gaillard6";"Clment.Guillaume31@gmail.com";"Célia du Faubourg-Saint-Denis";"Suite 287";"Yanisstad";"95496";"0549155437"
"Hugh Schmitt Jr.";"Benjamin_Meunier";"La_Rey@gmail.com";"Alexis de Presbourg";"Apt. 523";"Paulburgh";"76934";"0253219086"
"Faye Thomas";"Kylian44";"Ocane.Fabre@yahoo.fr";"Brun de la Paix";"Suite 756";"West Nicolas";"93232";"+33 684125464"
"Clara Lemoine";"Eva.Roux";"Mael.Bertrand71@yahoo.fr";"Louis du Dahomey";"Suite 520";"East Antoineview";"91295";"+33 384936337"
"Morris Martinez";"Mohamed2";"Clmence89@hotmail.fr";"Evan des Grands Augustins";"Suite 857";"Lake Rayan";"85713";"0457504272"
"Mathew Marchand";"Valentin.Leroux";"Gabriel.Adam@hotmail.fr";"Rayan d'Abbeville";"Apt. 524";"New Hugo";"90000";"0370835015"
"Jacquelyn Giraud";"Elisa.Meyer";"Maxime.Mercier@yahoo.fr";"Charlotte Saint-Dominique";"Apt. 125";"Barreport";"99071";"+33 164500959"
"M Melinda Pons";"Louise38";"Mathilde23@yahoo.fr";"David de Seine";"Apt. 577";"Olivierfort";"86543";"0680615529"
"Julia Andre";"Quentin_Picard";"Malys.Guerin@hotmail.fr";"Martinez Oberkampf";"Suite 469";"Schmittburgh";"55909";"+33 792273149"
"Rolando Muller";"Evan83";"Nathan_Perez2@hotmail.fr";"Océane Laffitte";"Suite 549";"Charlesfort";"69943";"0113833590"
"Andrew Rey";"Arthur80";"Sarah.Masson@hotmail.fr";"Mathis de la Harpe";"Apt. 468";"East Carlaville";"28340";"0187504518"
"Mildred Legrand";"Louna_Andre";"Mohamed_Carre53@hotmail.fr";"Fontaine de Provence";"Suite 235";"Duvalside";"35301";"+33 569210749"
"Alfredo Lemoine";"Enzo.Baron82";"Chlo.Benoit45@yahoo.fr";"Maeva du Havre";"Apt. 036";"North Gabrielchester";"28387";"0141335746"
"Helen Dumas II";"Carla.Lecomte60";"Benjamin6@gmail.com";"Boyer du Faubourg Saint-Honoré";"Suite 151";"Guillaumeburgh";"22898";"0646673092"
"Dr Myrtle Moreau";"Benjamin_Marchand";"Chlo_Rodriguez@yahoo.fr";"Louna Lepic";"Suite 200";"Maxencemouth";"32879";"0578064518"
